timestamp,trade_count,total_qty,signed_qty,avg_trade_price,avg_trade_vs_mid,future_ret_1,future_ret_2,future_ret_3,future_ret_5,future_ret_10,future_ret_20,future_ret_50,future_ret_100,future_ret_200,future_ret_500,future_ret_1000
63900,1,5,-5,9986.0,-8.0,-2.0,-2.0,-2.0,-4.0,-7.0,-6.0,-8.0,2.0,-41.5,-37.5,-21.0
67600,1,5,5,9993.0,8.0,-3.0,-1.0,0.0,-3.0,3.0,-1.0,-3.0,-3.0,-38.0,-33.0,-18.0
73000,1,3,-3,9980.0,-8.0,0.0,3.0,2.0,2.0,10.0,-3.0,-8.0,-32.0,-45.0,-17.0,-22.5
77800,1,2,2,9990.0,8.0,0.0,-2.0,-1.0,0.0,-1.0,-6.0,-24.0,-35.0,-27.0,-20.0,-14.5
90000,1,6,6,9950.0,8.0,2.5,4.0,6.0,7.0,5.0,9.0,0.0,13.5,-2.0,-1.0,8.0
93200,1,6,6,9948.0,8.0,1.0,1.0,0.0,0.5,1.0,4.0,5.5,9.0,7.0,19.0,29.0
94600,1,3,-3,9931.0,-8.0,0.0,2.0,2.5,3.0,9.0,12.0,10.0,11.0,10.0,19.0,28.0
94900,1,4,-4,9934.0,-7.5,0.5,0.5,2.5,6.5,6.5,6.5,12.5,10.5,3.5,14.5,24.5
96800,1,2,-2,9940.0,-8.0,0.0,2.0,4.0,4.0,7.0,4.0,9.0,3.0,-12.0,15.0,7.0
102200,1,5,-5,9946.0,-8.0,2.0,1.0,-4.0,-9.0,-5.0,-5.0,-7.0,-14.0,8.5,25.0,19.0
105100,1,4,-4,9943.0,-8.0,-2.0,2.0,2.0,-1.0,-0.5,-1.5,-11.0,-7.0,12.0,27.0,28.0
106100,1,6,-6,9943.0,-7.5,-3.5,-2.5,-3.5,-3.5,-1.0,-6.5,-7.5,-13.5,14.5,25.5,26.0
108800,1,2,2,9949.0,7.5,0.5,-1.5,-4.5,-8.5,-3.5,0.5,10.5,10.5,15.5,35.5,45.5
109500,1,2,-2,9926.0,-8.0,1.0,2.0,4.0,6.0,9.0,12.0,15.0,21.0,13.5,39.0,51.0
116300,1,5,-5,9929.0,-8.0,0.0,-3.0,-2.0,-1.0,8.0,18.0,18.0,29.0,12.0,31.0,49.0
125000,1,4,4,9972.0,8.0,-1.0,0.0,-4.0,-2.0,1.0,1.0,-11.0,-10.0,-10.0,6.0,37.0
128500,1,5,-5,9955.0,-8.0,-3.0,-5.0,-6.0,-13.5,-15.5,-11.0,1.0,-13.5,21.0,0.0,24.0
132000,1,3,-3,9950.0,-8.0,3.0,6.0,3.0,4.0,5.0,-5.0,-9.0,-6.0,25.5,13.0,29.0
132900,1,2,-2,9956.0,-8.0,-1.0,-4.0,-5.0,0.0,-4.5,-10.0,-7.0,-7.0,12.0,-1.0,19.0
133600,1,5,5,9970.0,8.0,0.0,0.5,-2.5,-6.0,-9.0,-16.0,-17.0,-5.0,10.0,3.0,23.0
136800,1,5,5,9955.0,8.0,3.0,2.0,3.5,2.5,10.0,-4.0,7.5,16.0,31.0,16.0,30.0
141700,1,2,-2,9939.0,-8.0,7.5,3.5,5.0,7.0,10.0,8.0,18.0,40.0,23.0,13.0,27.0
143600,1,4,-4,9949.0,-8.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,26.0,15.0,13.0,16.0,20.0
144500,1,3,3,9966.0,4.0,-4.0,-3.0,-2.0,-8.0,-3.0,-4.0,23.0,11.0,9.0,5.0,14.0
153400,1,4,-4,9964.0,-8.0,0.0,0.0,-2.0,1.0,-1.0,10.0,2.0,-1.0,-8.0,4.0,-21.0
155200,1,5,5,9991.0,8.0,0.0,-1.0,-3.0,-2.0,-7.0,-5.0,-11.0,-17.0,-13.0,-3.0,-17.5
158100,1,5,5,9974.0,3.5,5.5,5.5,3.5,6.5,11.5,1.5,1.5,-4.5,-4.5,3.5,15.5
159300,1,2,-2,9969.0,-8.0,-4.0,-4.0,-3.0,-2.0,-5.0,-6.0,-10.0,-15.0,-3.0,9.0,7.0
163300,1,3,3,9977.0,8.0,2.0,0.0,1.0,4.0,-2.0,-3.0,-6.0,-3.0,-4.0,22.0,33.0
164600,1,3,-3,9962.0,-8.0,2.0,3.0,-0.5,0.0,-1.0,-2.0,-3.0,-2.0,-8.0,26.0,32.0
169000,1,3,-3,9953.0,-8.0,-2.0,0.0,1.0,11.0,9.0,10.0,5.0,9.0,-6.0,20.0,39.0
171500,1,5,5,9982.0,7.5,0.5,2.5,2.5,-3.5,-6.5,-7.5,-5.5,-4.5,-14.5,19.5,13.0
175300,1,6,6,9969.0,4.0,9.0,7.0,7.0,7.0,1.0,6.0,10.0,3.0,0.0,36.0,16.0
178100,1,2,-2,9958.0,-8.0,-6.0,-2.0,-3.0,-3.0,3.0,9.0,-1.0,-5.0,-4.0,22.0,23.0
181900,1,3,3,9980.0,8.0,-1.0,-5.0,-1.0,-3.0,-9.0,-6.0,-8.0,-11.0,3.0,17.0,5.0
182400,1,5,5,9977.0,8.0,0.0,-3.0,-3.0,-6.0,-2.0,-3.0,-6.0,-7.0,6.0,22.0,15.0
183300,1,4,4,9973.0,8.0,2.0,2.0,0.0,1.0,3.0,3.0,-6.0,5.0,9.0,18.0,10.0
185800,1,6,-6,9961.0,-8.0,-3.0,-3.0,-4.0,-1.0,-6.0,-6.0,-10.0,-8.0,4.0,7.0,5.0
190600,1,6,-6,9943.0,-8.0,5.0,8.0,9.0,12.0,9.0,10.0,10.0,21.0,45.0,24.5,38.0
196600,1,3,-3,9953.0,-8.0,-3.0,-6.0,-4.0,-4.0,1.0,5.0,15.0,9.0,21.0,15.0,44.0
197000,1,6,6,9967.0,8.0,-2.0,4.0,3.0,5.0,2.0,1.0,14.0,11.0,26.0,8.5,39.0
203900,1,6,6,9978.0,8.0,1.0,1.0,1.0,5.0,7.0,6.5,13.0,22.0,22.0,-10.0,41.0
206200,1,5,5,9983.0,8.0,-1.0,-8.5,-3.0,-5.0,-5.0,-3.0,20.0,8.0,28.0,0.0,39.0
206700,1,5,-5,9962.0,-8.0,2.0,1.0,0.0,0.0,1.0,16.0,27.0,11.0,25.0,8.0,50.0
207200,1,4,-4,9962.0,-8.0,1.0,2.0,0.0,1.0,2.0,15.0,28.0,16.0,22.0,12.0,49.0
207600,1,6,6,9980.0,8.0,-1.0,0.0,-2.0,2.0,11.0,13.0,24.0,12.0,24.0,8.0,50.0
209000,1,5,5,9989.0,8.0,1.0,4.0,5.0,4.0,8.0,14.0,11.0,0.0,5.5,5.0,37.5
218800,1,4,4,9986.0,8.0,1.0,3.0,2.0,5.0,7.0,13.0,16.0,5.0,3.0,22.0,41.0
221500,1,3,-3,9986.0,-8.0,-2.0,0.0,-2.0,3.0,-1.5,0.0,3.0,-9.0,-18.0,-6.5,25.0
222700,1,6,6,10002.0,8.0,-1.0,1.0,-1.0,1.0,-4.5,5.0,-3.0,-12.0,-20.0,-5.0,27.0
234200,1,6,-6,9976.0,-8.0,2.0,1.0,2.0,-2.0,-9.0,-9.0,-6.0,-8.0,-17.0,-10.0,55.5
240700,1,4,-4,9963.0,-8.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,-22.0,23.0,19.0,56.0
243300,1,2,2,9977.0,8.0,-1.0,3.0,8.0,6.0,7.0,3.0,-12.0,-18.0,33.0,30.0,56.0
247100,1,5,5,9971.0,8.0,-1.0,-1.0,2.0,-3.5,-4.0,-4.0,-13.0,18.0,36.0,29.5,48.0
247800,1,4,-4,9952.0,-8.0,0.0,0.0,-1.0,-3.0,0.0,-10.0,-3.0,22.0,41.0,49.0,45.0
248700,1,3,3,9966.0,7.5,1.5,1.5,-0.5,0.5,-6.0,-9.5,0.5,27.5,42.5,52.5,46.5
256100,1,5,5,9969.0,3.5,9.5,7.5,6.5,6.5,15.5,20.5,25.5,39.5,21.5,49.5,36.5
260100,1,2,2,9999.0,8.0,-2.0,0.0,1.0,4.0,0.0,12.0,9.0,11.0,-8.0,34.5,24.0
261500,1,5,5,10009.0,8.0,4.5,1.0,-1.0,1.0,3.0,-3.0,2.0,-13.5,-20.0,18.0,18.5
263700,1,3,-3,9989.0,-8.0,0.0,-1.0,-2.0,-4.0,4.0,3.0,4.0,-13.0,-17.0,14.0,17.0
266800,1,6,-6,9993.0,-8.0,0.0,-1.0,-2.0,-3.0,0.0,-1.0,-9.0,-11.0,-29.0,23.0,34.0
273500,1,4,4,9995.0,8.0,-1.0,-3.0,-2.0,-3.0,-4.0,-6.0,9.0,-9.0,13.0,38.0,55.0
278200,1,5,5,9997.0,8.0,4.0,3.0,7.0,10.0,7.0,-5.0,-15.0,-7.0,21.0,47.0,66.0
278600,1,4,-4,9991.0,-8.0,0.0,1.0,-1.0,-3.0,-11.0,-17.0,-20.0,-19.0,13.0,34.0,56.0
280000,1,3,3,9991.0,7.5,-0.5,0.5,0.5,-2.5,-4.5,-3.5,-12.5,4.5,27.5,54.5,66.5
281500,1,5,-5,9973.0,-8.0,-5.0,-3.0,-4.0,-1.0,1.0,-3.0,-10.0,9.0,30.0,54.0,59.5
283800,1,2,2,9990.0,8.0,-3.0,-6.0,-4.0,-4.0,-12.0,-8.0,-4.0,19.0,25.0,57.0,59.0
284700,1,2,2,9979.0,8.0,-1.0,0.0,0.0,3.0,3.0,-2.0,12.0,27.5,46.0,67.0,67.0
287600,1,6,6,9980.0,8.0,4.0,2.0,4.0,6.0,8.0,16.5,24.0,34.0,50.0,66.0,40.0
287700,1,3,3,9984.0,8.0,-2.0,0.0,0.0,6.0,4.0,7.0,24.0,33.0,46.0,64.0,36.0
290600,1,2,-2,9981.0,-8.0,1.0,1.0,-1.0,0.0,1.0,7.0,15.0,23.0,34.0,38.0,18.0
290800,1,5,5,9998.0,8.0,-2.0,-3.0,-1.0,0.0,1.0,9.0,13.0,21.0,31.0,37.0,17.0
294900,1,6,6,10006.0,8.0,-4.0,-3.0,-1.0,1.0,6.0,1.0,16.0,15.0,14.0,28.0,26.5
298700,1,4,-4,10003.0,-8.0,0.0,0.0,1.0,4.0,6.0,0.0,-4.0,11.0,11.0,-6.0,15.0
305800,1,2,2,10020.0,8.0,0.0,1.0,3.0,6.0,7.0,12.0,9.0,5.0,17.0,-11.0,-22.0
310200,1,2,-2,10016.0,-8.0,-1.0,2.0,1.0,-3.0,-7.0,-5.0,-13.0,-6.0,12.0,-9.0,-38.0
311500,1,5,5,10027.0,8.0,0.0,1.0,-1.0,-3.0,3.0,-5.0,4.0,0.0,16.0,0.5,-35.5
313400,1,5,5,10023.0,8.0,-1.0,-1.0,-4.0,-4.0,-2.0,0.0,6.0,11.0,22.0,-1.0,-38.0
318700,1,6,-6,10014.0,-8.0,-3.0,-4.0,-2.0,-2.0,-2.0,0.0,2.0,14.0,15.0,21.0,-63.0
320900,1,4,4,10034.0,8.0,-5.0,-7.0,-9.0,-3.0,-7.0,-8.5,1.0,6.0,4.5,13.0,-59.0
321200,1,4,-4,10009.0,-8.0,4.0,6.0,2.0,3.0,0.0,6.0,6.0,16.0,14.0,24.0,-45.0
330900,1,3,3,10040.0,8.0,0.0,2.5,1.0,1.0,7.0,9.0,11.0,-1.5,-21.0,18.0,-39.0
331400,1,2,-2,10025.0,-8.0,2.0,2.0,4.0,6.0,4.0,4.0,8.0,-6.0,-20.0,10.0,-47.0
332700,1,6,-6,10030.0,-8.0,0.0,3.0,2.5,1.0,1.0,0.0,2.0,-15.0,-24.0,2.0,-61.0
335000,1,5,5,10047.0,8.0,-2.0,-1.0,1.0,3.0,4.0,3.0,-3.0,-16.0,-35.0,-5.0,-65.0
335300,1,4,4,10048.0,8.0,0.0,2.0,3.0,3.0,4.0,-2.0,-7.0,-15.0,-35.0,-9.0,-70.0
335400,1,4,4,10048.0,8.0,2.0,3.0,1.0,3.0,1.0,-0.5,-10.0,-12.0,-38.0,-9.0,-67.0
336800,1,5,-5,10034.0,-8.0,1.0,0.0,-2.0,-4.0,-4.0,-7.0,-21.0,-30.0,-36.0,-16.0,-63.0
340000,1,6,-6,10028.0,-8.0,-4.0,-3.0,-3.0,-6.5,-8.0,-17.0,-13.0,-29.0,-23.0,-26.0,-59.5
345000,1,4,-4,10015.0,-8.0,0.0,0.0,2.0,3.0,-2.0,-10.0,-16.0,-19.0,7.0,1.0,-69.0
358200,1,6,-6,9994.0,-8.0,2.0,5.0,3.0,-2.0,9.0,13.0,11.0,40.0,53.0,-4.0,-38.0
363700,1,5,5,10022.0,8.0,-1.0,2.0,2.0,3.0,14.0,11.0,29.0,30.0,25.5,-33.0,-48.0
366900,1,5,5,10045.0,8.0,-3.0,-1.0,0.0,5.0,5.0,3.5,5.5,32.0,-12.0,-67.0,-60.0
367000,1,5,5,10042.0,8.0,2.0,3.0,6.0,6.0,10.0,13.0,12.0,37.0,-12.0,-64.0,-58.0
370400,1,2,2,10047.0,8.0,0.0,0.0,1.0,0.0,2.0,9.0,10.0,13.0,-28.0,-75.0,-54.0
370600,1,4,-4,10031.0,-8.0,1.0,0.5,0.0,0.0,1.0,7.0,16.0,14.0,-32.0,-74.0,-54.0
373300,1,2,2,10054.0,8.0,-9.0,-4.0,-4.0,0.0,6.0,2.0,13.0,-5.0,-31.0,-82.0,-86.0
380500,1,4,-4,10043.0,-8.0,2.0,4.0,0.0,-5.0,-10.5,-8.0,-17.0,-41.0,-44.0,-60.0,-103.0
381400,1,4,-4,10035.0,-8.0,-2.5,2.0,4.0,6.5,2.0,-2.0,-18.0,-35.0,-27.0,-57.0,-98.0
383100,1,6,-6,10033.0,-8.0,0.0,0.0,0.0,-1.0,-2.0,-7.0,-30.0,-28.0,-38.0,-71.0,-104.5
389800,1,4,4,10018.0,8.0,0.0,0.0,1.0,0.0,-3.0,-3.0,16.0,-4.0,-26.0,-32.0,-42.5
390400,1,6,-6,10003.0,-8.0,-1.0,-4.0,-4.0,-5.0,-3.0,-7.0,15.0,-4.0,-28.0,-40.0,-49.0
402000,1,4,4,10016.0,8.0,-1.0,-2.0,-3.0,-6.0,-6.0,-8.0,-18.0,-30.0,-37.0,-34.0,-33.0
405600,1,5,5,9999.0,8.0,1.0,-1.0,0.0,-1.0,-5.0,1.0,-10.0,-15.0,-5.0,-27.0,-31.0
410500,1,3,3,9990.0,8.0,-1.0,-4.0,-7.0,-3.0,1.5,-4.0,-6.0,-18.0,9.0,-13.0,-31.0
414600,1,2,2,9993.0,8.0,-2.0,-5.0,-7.0,-9.0,-9.0,-13.0,-21.0,-6.0,-13.0,-15.0,-41.0
416400,1,5,-5,9964.0,-8.0,-1.0,0.0,-2.0,-2.0,-6.0,-14.0,3.0,13.0,3.0,5.0,-25.0
417000,1,6,6,9978.0,8.0,-1.0,-2.0,-4.0,-6.0,-11.0,-5.0,1.0,12.0,8.0,6.0,-31.0
417100,1,2,2,9977.0,8.0,-1.0,-3.0,-3.0,-2.0,-13.0,-3.0,3.0,15.0,6.0,6.0,-27.0
422900,1,4,4,9977.0,8.0,2.0,1.0,-2.0,-2.0,4.0,12.5,24.0,5.0,-5.0,-2.5,1.0
425600,1,2,2,9994.0,8.0,0.0,-1.0,1.0,-3.0,-1.0,5.0,7.0,-10.0,-28.0,-31.0,-7.0
428300,1,5,5,10001.0,8.0,0.0,-3.0,-1.0,0.0,-5.0,-6.0,-27.0,-24.0,-44.0,-45.0,-15.0
429100,1,3,-3,9979.0,-8.0,-1.0,1.0,-1.0,0.0,0.0,8.0,-13.0,-14.0,-36.0,-40.0,-9.0
435200,1,6,6,9978.0,8.0,0.0,3.0,2.0,4.0,4.5,-0.5,7.0,-15.0,1.0,-41.0,-16.0
436500,1,3,3,9985.0,8.0,2.0,2.0,2.0,1.0,-8.0,-8.0,-9.0,-24.0,-14.0,-34.0,-7.0
443900,1,5,5,9966.0,8.0,1.0,0.0,0.0,-1.0,-8.0,-2.0,-5.0,13.0,12.0,20.0,18.0
446300,1,3,3,9960.0,8.0,0.0,1.0,1.0,1.0,-1.0,-3.0,14.0,8.0,26.0,29.0,15.0
447400,1,5,-5,9944.0,-8.0,-2.0,-5.0,-6.0,-9.0,-1.0,-3.0,25.0,4.0,20.0,26.0,19.0
448000,1,4,4,9951.0,8.0,1.0,6.5,6.0,10.0,10.0,21.0,30.0,18.0,30.0,27.0,25.5
455100,1,5,-5,9962.0,-8.0,1.0,0.0,0.0,-6.0,-10.0,-11.0,3.0,0.0,-13.0,-11.0,-24.0
460000,1,6,6,9979.0,8.0,2.0,1.0,-1.0,-2.0,-1.0,-4.0,-2.0,19.0,-21.0,-21.0,-11.0
460100,1,3,3,9981.0,8.0,-1.0,-3.0,-5.0,-4.0,-4.0,-11.0,-3.0,18.0,-25.0,-21.0,-10.0
462900,1,5,5,9977.0,8.0,-3.0,-4.0,-5.0,-6.0,1.0,2.0,6.0,-2.5,-28.0,-25.0,-1.0
463000,1,3,3,9974.0,8.0,-1.0,-2.0,-2.0,-2.5,3.0,3.0,7.0,-5.5,-25.0,-21.0,0.0
467600,1,3,-3,9966.0,-8.0,3.0,2.5,1.0,-2.0,-4.0,9.0,-5.0,-24.0,-26.0,-30.0,-24.0
471700,1,3,3,9980.0,7.5,1.5,1.5,3.5,-0.5,-4.5,-7.5,-24.5,-26.5,-6.5,-14.5,-18.0
473100,1,3,3,9970.0,8.0,-1.0,-2.0,-2.0,-6.5,-1.0,-5.0,-14.0,-25.5,14.0,7.0,-11.0
474900,1,5,5,9964.0,8.0,-0.5,1.0,1.0,2.0,-2.0,-9.0,-9.0,-26.0,22.0,20.0,11.0
476200,1,4,4,9957.0,8.0,1.0,1.0,3.0,-1.0,-2.0,0.0,-4.0,-6.0,29.0,33.0,26.0
477700,1,5,5,9958.0,8.0,1.0,-1.0,-1.0,-1.0,-3.0,-1.0,-6.5,-0.5,21.0,24.0,19.0
481600,1,3,3,9956.0,8.0,-2.0,-3.5,-7.0,-13.0,-6.0,-16.0,-3.0,19.0,29.0,18.0,23.0
487500,1,4,4,9959.0,8.0,-3.0,-1.5,-1.0,0.0,1.0,9.0,20.0,23.0,5.0,18.0,34.0
489700,1,6,-6,9956.0,-8.0,3.5,-1.0,-1.0,1.0,2.0,2.0,11.0,23.0,-18.0,11.0,18.0
489900,1,6,-6,9955.0,-8.0,0.0,1.0,2.0,-1.0,3.0,6.0,15.0,22.0,-14.0,9.0,20.0
493600,1,2,2,9982.0,8.0,1.0,4.0,4.0,3.5,1.0,1.0,2.0,4.0,-24.0,-1.0,8.0
496300,1,4,-4,9973.0,-8.0,-3.0,0.0,2.0,-2.0,-4.0,-8.0,-2.0,-12.0,-36.0,-14.0,8.0
497200,1,5,-5,9971.0,-8.0,-2.0,-1.0,-5.0,-8.0,-8.0,9.0,-5.0,-21.0,-39.0,-11.0,12.0
498200,1,5,-5,9963.0,-8.0,2.0,2.0,3.5,9.0,17.0,9.0,8.0,-17.0,-29.0,-1.0,18.0
499600,1,6,-6,9979.0,-8.0,0.0,-7.5,-2.0,-4.0,-3.0,-10.0,-22.0,-37.0,-40.0,-23.0,11.0
501400,1,5,5,9986.0,8.0,-2.0,-1.0,-2.0,-3.0,-5.0,1.0,-8.0,-31.0,-21.0,-13.0,8.0
501600,1,6,6,9985.0,8.0,-1.0,-1.0,-2.0,-4.0,-1.0,1.0,-8.0,-30.0,-18.0,-13.0,11.0
502000,1,3,3,9983.0,8.0,-2.0,-1.0,0.0,1.0,5.0,-1.0,-13.0,-30.0,-14.0,-20.0,17.0
510900,1,4,-4,9939.0,-8.0,1.0,6.0,1.0,0.0,-4.0,-3.0,-4.0,6.0,22.0,23.0,58.0
515600,1,5,-5,9931.0,-8.0,-1.0,1.0,4.0,4.5,6.0,5.0,15.0,40.0,21.0,15.5,70.0
516300,1,5,-5,9937.0,-8.0,2.0,1.0,0.0,-1.0,-3.0,-1.0,13.0,35.0,21.0,8.5,62.0
517900,1,3,3,9954.0,8.0,-2.0,-3.0,-4.0,0.0,-4.0,7.0,24.0,30.0,20.0,10.0,52.0
518000,1,5,-5,9936.0,-8.0,-1.0,-2.0,0.0,1.0,1.0,8.0,26.0,34.0,24.0,9.0,54.0
521400,1,6,6,9965.0,8.0,0.0,2.0,1.0,6.5,7.5,13.0,25.0,10.0,13.0,-5.0,40.0
522300,1,6,6,9971.0,8.0,1.5,2.0,3.0,7.0,5.0,12.0,15.0,6.0,15.0,-11.0,36.0
526800,1,2,2,9990.0,8.0,0.0,0.0,-3.0,-4.0,-6.0,-3.0,-9.0,-15.0,-10.0,-8.0,7.0
527200,1,5,-5,9972.0,-8.0,-2.0,-1.0,-3.0,-6.0,-3.0,0.0,-10.0,-13.0,-12.0,-7.0,0.0
540300,1,2,2,9980.0,8.0,1.0,0.0,2.0,5.0,-1.0,6.0,9.0,-11.0,-10.0,11.0,20.0
545700,1,5,-5,9963.0,-8.0,-3.0,-4.0,-5.0,-5.0,0.0,-3.0,-8.0,-22.0,-15.0,14.0,47.0
554300,1,5,-5,9943.0,-3.5,3.5,3.5,0.5,1.5,1.5,8.5,11.5,13.5,12.5,56.5,65.5
555000,1,2,-2,9938.0,-8.0,0.0,2.0,2.0,0.0,8.0,10.0,14.0,4.5,18.0,60.0,76.5
557400,1,2,2,9960.0,8.0,3.0,7.0,7.0,9.0,11.0,6.0,21.0,-1.0,21.0,55.0,65.0
558300,1,3,3,9971.0,4.0,-4.0,-4.0,-7.0,-6.0,-9.0,-5.0,-3.0,-12.0,6.0,38.0,55.0
559800,1,6,6,9972.0,8.0,0.0,-4.0,-1.0,-2.0,5.0,12.0,-13.0,-16.0,-1.0,48.0,55.0
562900,1,5,-5,9960.0,-8.0,-2.0,-1.0,-3.0,-6.0,-3.0,-15.0,-12.0,-18.0,9.0,35.0,40.0
566500,1,3,3,9958.0,8.0,1.0,2.0,4.0,7.0,1.0,7.0,3.0,26.0,25.5,58.0,55.0
568400,1,4,-4,9949.0,-8.0,0.0,-3.0,-3.0,-2.0,-11.0,-9.5,-3.0,13.0,27.0,38.0,48.0
568500,1,3,3,9965.0,8.0,-3.0,-3.0,-2.0,-2.0,-12.0,-3.0,-3.0,13.0,27.0,36.0,47.0
574300,1,4,-4,9951.0,-8.0,1.0,2.0,5.0,6.0,4.0,14.0,2.0,23.0,29.0,31.0,39.0
579300,1,2,2,9969.0,8.0,0.0,1.0,6.5,2.0,10.0,4.5,21.0,14.0,30.0,28.0,27.0
581900,1,5,-5,9969.0,-8.0,1.0,0.0,-1.0,1.0,0.0,3.0,1.0,8.0,12.0,24.0,-8.0
588900,1,3,3,9991.0,8.0,-3.0,-4.5,-5.0,-5.0,0.0,0.0,1.0,12.0,28.0,11.0,16.0
591300,1,2,-2,9980.0,-8.0,-3.0,-1.0,-2.0,-1.0,2.0,-5.0,1.0,-1.0,17.0,2.0,2.0
592300,1,4,-4,9982.0,-8.0,0.0,-3.0,-5.0,-8.0,-7.0,-2.0,0.0,1.0,15.0,2.0,-1.0
596100,1,4,-4,9977.0,-8.0,4.0,4.0,5.0,2.0,7.0,4.0,0.5,22.0,25.0,32.0,24.0
596500,1,6,6,9996.0,8.0,-1.0,-2.0,-4.0,1.0,0.0,3.0,-2.0,17.0,20.0,33.0,17.0
598100,1,6,-6,9981.0,-8.0,0.0,1.0,0.0,0.0,1.5,2.0,3.0,16.0,9.0,35.0,15.0
599500,1,2,2,10003.0,8.0,3.0,-1.0,0.0,-4.0,-12.0,-9.0,11.0,13.0,13.0,25.0,22.0
599700,1,5,-5,9986.0,-8.0,1.0,-1.0,-3.0,-5.0,-8.0,-5.0,15.0,18.0,10.0,28.0,25.0
601600,1,6,6,9996.0,8.0,1.0,2.0,1.0,4.0,7.0,6.0,15.0,18.0,11.0,29.0,40.0
616500,1,6,6,10016.0,8.0,1.0,0.0,-3.0,-2.0,-5.0,-15.0,-9.0,-18.0,-0.5,-3.0,-10.0
619000,1,2,-2,9987.0,-8.0,3.0,5.0,8.0,13.0,6.0,2.0,4.0,0.5,-3.0,10.0,24.0
622000,1,6,6,10011.0,8.0,0.0,0.0,-4.0,-8.0,-4.0,-4.0,-19.0,0.0,-9.0,-11.0,8.0
625700,1,2,-2,9985.0,-8.0,0.0,-1.0,-1.0,-3.0,-3.0,-10.0,6.0,9.0,25.0,5.0,23.0
626900,1,2,-2,9980.0,-8.0,-4.0,-4.0,-8.0,-7.0,-4.0,1.0,13.0,17.0,34.0,10.0,23.0
627400,1,5,5,9989.0,8.0,-1.0,1.0,2.0,3.0,8.0,11.0,18.0,19.0,45.0,13.0,28.0
629300,1,4,4,9997.0,8.0,3.0,4.0,3.0,4.0,10.0,8.0,11.0,2.0,31.5,-1.0,27.0
629700,1,4,-4,9983.0,-8.0,2.0,2.0,4.0,5.0,8.0,12.0,11.0,-3.0,31.0,-6.0,28.0
631100,1,3,3,10005.0,8.0,2.0,0.0,0.0,6.0,5.0,-4.0,5.0,-8.0,15.0,-20.0,36.0
634800,1,2,2,10012.0,8.0,1.0,1.0,1.0,-1.0,-7.0,0.0,-16.0,2.0,14.0,-11.0,29.0
636700,1,3,3,10015.0,8.0,-3.0,-2.0,-4.0,-5.0,-11.0,-12.0,-16.0,15.0,13.0,-6.0,27.0
638400,1,5,-5,9988.0,-8.0,-1.0,0.0,-1.0,-2.0,-6.0,-3.0,10.0,26.0,23.0,3.0,50.0
638500,1,6,6,10003.0,8.0,1.0,0.0,1.0,-3.0,-7.0,0.0,9.0,26.0,23.0,5.0,48.0
639900,1,2,-2,9978.0,-8.0,0.0,4.0,7.0,7.0,5.0,10.5,25.0,33.5,33.0,17.0,64.0
