column,dtype,missing_count,missing_pct,present_pct,n_unique
book_wap_edge_L2,float64,0,0.0,1.0,159
bid_wap_L3,float64,0,0.0,1.0,955
ask_wap_L3,float64,0,0.0,1.0,948
book_wap_mid_L3,float64,0,0.0,1.0,929
book_wap_edge_L3,float64,0,0.0,1.0,159
mid_change,float64,1,0.001,0.999,31
bid_change,float64,1,0.001,0.999,20
ask_change,float64,1,0.001,0.999,24
spread_change,float64,1,0.001,0.999,10
bid_size_1_change,float64,1,0.001,0.999,20
ask_size_1_change,float64,1,0.001,0.999,22
mid_changed,int64,0,0.0,1.0,2
bid_changed,int64,0,0.0,1.0,2
ask_changed,int64,0,0.0,1.0,2
spread_changed,int64,0,0.0,1.0,2
bid_size_1_changed,int64,0,0.0,1.0,2
ask_size_1_changed,int64,0,0.0,1.0,2
past_ret_1,float64,1,0.001,0.999,31
future_ret_1,float64,1,0.001,0.999,31
future_abs_ret_1,float64,1,0.001,0.999,17
future_up_1,int64,0,0.0,1.0,2
past_ret_2,float64,2,0.002,0.998,37
future_ret_2,float64,2,0.002,0.998,37
future_abs_ret_2,float64,2,0.002,0.998,20
future_up_2,int64,0,0.0,1.0,2
past_ret_3,float64,3,0.003,0.997,41
future_ret_3,float64,3,0.003,0.997,41
future_abs_ret_3,float64,3,0.003,0.997,23
future_up_3,int64,0,0.0,1.0,2
past_ret_5,float64,5,0.005,0.995,52
future_ret_5,float64,5,0.005,0.995,52
future_abs_ret_5,float64,5,0.005,0.995,29
future_up_5,int64,0,0.0,1.0,2
past_ret_10,float64,10,0.01,0.99,64
future_ret_10,float64,10,0.01,0.99,64
future_abs_ret_10,float64,10,0.01,0.99,39
future_up_10,int64,0,0.0,1.0,2
past_ret_20,float64,20,0.02,0.98,89
future_ret_20,float64,20,0.02,0.98,89
future_abs_ret_20,float64,20,0.02,0.98,49
future_up_20,int64,0,0.0,1.0,2
past_ret_50,float64,50,0.05,0.95,120
future_ret_50,float64,50,0.05,0.95,120
future_abs_ret_50,float64,50,0.05,0.95,69
future_up_50,int64,0,0.0,1.0,2
past_ret_100,float64,100,0.1,0.9,155
future_ret_100,float64,100,0.1,0.9,155
future_abs_ret_100,float64,100,0.1,0.9,92
future_up_100,int64,0,0.0,1.0,2
past_ret_200,float64,200,0.2,0.8,176
future_ret_200,float64,200,0.2,0.8,176
future_abs_ret_200,float64,200,0.2,0.8,124
future_up_200,int64,0,0.0,1.0,2
past_ret_500,float64,500,0.5,0.5,129
future_ret_500,float64,500,0.5,0.5,129
future_abs_ret_500,float64,500,0.5,0.5,127
future_up_500,int64,0,0.0,1.0,2
past_ret_1000,float64,1000,1.0,0.0,0
future_ret_1000,float64,1000,1.0,0.0,0
future_abs_ret_1000,float64,1000,1.0,0.0,0
future_up_1000,int64,0,0.0,1.0,1
roll_mean_10,float64,2,0.002,0.998,730
roll_median_10,float64,2,0.002,0.998,258
roll_std_mid_10,float64,2,0.002,0.998,947
roll_vol_ret1_10,float64,3,0.003,0.997,784
dev_roll_mean_10,float64,2,0.002,0.998,277
dev_roll_median_10,float64,2,0.002,0.998,71
z_roll_mean_10,float64,2,0.002,0.998,989
ema_10,float64,2,0.002,0.998,998
dev_ema_10,float64,2,0.002,0.998,998
roll_mean_20,float64,3,0.003,0.997,850
roll_median_20,float64,3,0.003,0.997,252
roll_std_mid_20,float64,3,0.003,0.997,973
roll_vol_ret1_20,float64,4,0.004,0.996,849
dev_roll_mean_20,float64,3,0.003,0.997,567
dev_roll_median_20,float64,3,0.003,0.997,102
z_roll_mean_20,float64,3,0.003,0.997,990
ema_20,float64,3,0.003,0.997,997
dev_ema_20,float64,3,0.003,0.997,997
roll_mean_50,float64,9,0.009,0.991,903
roll_median_50,float64,9,0.009,0.991,246
roll_std_mid_50,float64,9,0.009,0.991,971
roll_vol_ret1_50,float64,10,0.01,0.99,860
dev_roll_mean_50,float64,9,0.009,0.991,867
dev_roll_median_50,float64,9,0.009,0.991,138
z_roll_mean_50,float64,9,0.009,0.991,986
ema_50,float64,9,0.009,0.991,991
dev_ema_50,float64,9,0.009,0.991,991
roll_mean_100,float64,19,0.019,0.981,943
roll_median_100,float64,19,0.019,0.981,207
roll_std_mid_100,float64,19,0.019,0.981,972
roll_vol_ret1_100,float64,20,0.02,0.98,870
dev_roll_mean_100,float64,19,0.019,0.981,934
dev_roll_median_100,float64,19,0.019,0.981,180
z_roll_mean_100,float64,19,0.019,0.981,980
ema_100,float64,19,0.019,0.981,981
dev_ema_100,float64,19,0.019,0.981,981
roll_mean_200,float64,19,0.019,0.981,957
roll_median_200,float64,19,0.019,0.981,189
roll_std_mid_200,float64,19,0.019,0.981,974
roll_vol_ret1_200,float64,20,0.02,0.98,880
dev_roll_mean_200,float64,19,0.019,0.981,966
dev_roll_median_200,float64,19,0.019,0.981,204
z_roll_mean_200,float64,19,0.019,0.981,980
ema_200,float64,19,0.019,0.981,981
dev_ema_200,float64,19,0.019,0.981,981
roll_mean_500,float64,19,0.019,0.981,979
roll_median_500,float64,19,0.019,0.981,174
roll_std_mid_500,float64,19,0.019,0.981,981
roll_vol_ret1_500,float64,20,0.02,0.98,939
dev_roll_mean_500,float64,19,0.019,0.981,977
dev_roll_median_500,float64,19,0.019,0.981,175
z_roll_mean_500,float64,19,0.019,0.981,981
ema_500,float64,19,0.019,0.981,981
dev_ema_500,float64,19,0.019,0.981,981
roll_mean_1000,float64,19,0.019,0.981,980
roll_median_1000,float64,19,0.019,0.981,106
roll_std_mid_1000,float64,19,0.019,0.981,981
roll_vol_ret1_1000,float64,20,0.02,0.98,980
dev_roll_mean_1000,float64,19,0.019,0.981,980
dev_roll_median_1000,float64,19,0.019,0.981,172
z_roll_mean_1000,float64,19,0.019,0.981,981
ema_1000,float64,19,0.019,0.981,981
dev_ema_1000,float64,19,0.019,0.981,981
global_mean,float64,0,0.0,1.0,1
dev_global_mean,float64,0,0.0,1.0,158
z_global_mean,float64,0,0.0,1.0,158
row_index,int64,0,0.0,1.0,1000
time_bucket_10,int64,0,0.0,1.0,10
time_bucket_20,int64,0,0.0,1.0,20
