pattern,window_ms,n,mean_fwd,t_stat
Mark 14B -> Mark 55B,1000,53,-0.179,-0.16
Mark 49S -> Mark 22S,100000,97,-0.149,-0.16
Mark 55B -> Mark 01S,1000,44,0.205,0.15
Mark 55B -> Mark 01S,100000,243,0.088,0.15
Mark 67B -> Mark 01S,100000,243,0.088,0.15
Mark 49S -> Mark 01S,10000,78,-0.141,-0.14
Mark 01B -> Mark 01S,100000,242,0.085,0.14
Mark 14B -> Mark 01S,100000,242,0.085,0.14
Mark 22S -> Mark 01S,100000,227,-0.09,-0.14
Mark 55S -> Mark 01S,100000,242,0.085,0.14
Mark 01B -> Mark 14S,1000,24,0.208,0.1
Mark 22B -> Mark 22S,100000,63,-0.127,-0.1
Mark 14S -> Mark 01S,1000,27,0.148,0.09
Mark 55S -> Mark 22S,10000,90,-0.089,-0.09
Mark 14S -> Mark 01B,1000,30,-0.15,-0.08
Mark 49S -> Mark 55S,1000,17,0.176,0.07
Mark 22S -> Mark 01S,10000,70,-0.093,-0.07
Mark 49S -> Mark 55S,10000,175,0.046,0.07
Mark 14S -> Mark 01S,100000,240,0.029,0.05
Mark 14B -> Mark 01B,1000,18,0.056,0.03
Mark 22S -> Mark 55B,1000,15,-0.033,-0.01
Mark 55B -> Mark 01S,10000,218,0.0,0.0
