day,ts,ent_mid,fwd_50,fwd_100,fwd_200,fwd_500,min500,max500,drawdown,max_pain
1,771900,10071.5,-7.5,-6.0,-24.5,-74.5,9991.0,10078.0,80.5,6.5
1,772500,10075.5,-8.5,-11.5,-32.5,-74.5,9991.0,10078.0,84.5,2.5
1,773300,10075.5,-12.5,-3.5,-36.5,-66.5,9991.0,10076.0,84.5,0.5
1,773600,10070.5,-0.5,3.5,-29.0,-60.5,9991.0,10076.0,79.5,5.5
1,774100,10061.5,5.5,5.5,-20.5,-54.5,9991.0,10076.0,70.5,14.5
1,774200,10063.5,6.5,2.0,-23.5,-55.5,9991.0,10076.0,72.5,12.5
1,776400,10065.5,5.5,0.5,-25.5,-58.5,9991.0,10076.0,74.5,10.5
1,776500,10067.5,3.5,-4.5,-30.5,-59.5,9991.0,10076.0,76.5,8.5
1,777900,10064.5,3.5,-9.5,-28.5,-60.5,9991.0,10076.0,73.5,11.5
1,778500,10066.5,4.5,-9.5,-37.5,-60.5,9991.0,10076.0,75.5,9.5
1,779700,10067.5,0.0,-12.5,-48.5,-59.5,9991.0,10076.0,76.5,8.5
1,781700,10069.5,-7.5,-20.5,-58.5,-49.5,9991.0,10074.0,78.5,4.5
1,781900,10065.5,-4.5,-18.5,-56.5,-48.5,9991.0,10074.0,74.5,8.5
1,782300,10065.5,-11.5,-23.5,-55.5,-47.5,9991.0,10074.0,74.5,8.5
1,782700,10066.5,-13.5,-24.5,-55.5,-48.5,9991.0,10074.0,75.5,7.5
1,783800,10068.5,-5.5,-27.5,-55.5,-32.5,9991.0,10070.0,77.5,1.5
1,784200,10065.5,-5.5,-25.5,-50.0,-25.5,9991.0,10070.0,74.5,4.5
1,784700,10067.5,-12.5,-27.5,-58.0,-32.5,9991.0,10070.0,76.5,2.5
1,786800,10060.5,-13.5,-26.5,-51.5,-18.5,9991.0,10063.0,69.5,2.5
1,791600,10050.5,-15.5,-40.0,-48.5,-22.5,9991.0,10050.5,59.5,0.0
1,793600,10041.5,-11.5,-28.5,-48.5,-12.5,9991.0,10046.0,50.5,4.5
1,796700,10035.5,-24.5,-27.5,-27.5,-10.5,9991.0,10046.0,44.5,10.5
1,798700,10029.5,-15.5,-15.5,-22.5,-1.5,9991.0,10046.0,38.5,16.5
1,801600,10010.5,-0.5,-8.5,-10.5,29.5,9991.0,10046.0,19.5,35.5
1,804200,10015.5,3.5,-24.5,-7.5,25.5,9991.0,10046.0,24.5,30.5
1,834900,10032.5,-6.5,-5.5,11.0,-37.5,9988.0,10079.0,44.5,46.5
1,838900,10030.5,-3.0,1.5,42.5,-16.5,9988.0,10079.0,42.5,48.5
1,841200,10026.5,0.5,11.5,41.5,-25.5,9988.0,10079.0,38.5,52.5
1,843900,10027.5,4.5,11.5,21.5,-39.5,9988.0,10079.0,39.5,51.5
1,845000,10022.5,14.5,22.5,35.5,-40.5,9981.0,10079.0,41.5,56.5
1,845200,10023.5,12.5,21.5,34.5,-46.5,9980.0,10079.0,43.5,55.5
1,848800,10030.5,7.5,40.5,20.5,-35.5,9977.0,10079.0,53.5,48.5
1,852600,10040.5,21.5,11.5,-15.5,-31.5,9977.0,10079.0,63.5,38.5
1,852800,10039.5,21.5,8.5,-17.5,-32.5,9977.0,10079.0,62.5,39.5
1,854900,10043.5,32.5,14.5,-24.5,-30.5,9977.0,10079.0,66.5,35.5
1,855400,10044.5,33.5,8.5,-23.5,-22.5,9977.0,10079.0,67.5,34.5
1,856500,10057.5,12.0,-11.5,-48.5,-38.5,9977.0,10079.0,80.5,21.5
1,857300,10059.5,-4.5,-12.5,-48.5,-47.5,9977.0,10079.0,82.5,19.5
1,859400,10078.5,-24.5,-26.5,-76.5,-64.5,9977.0,10079.0,101.5,0.5
1,861500,10069.5,-23.5,-30.5,-79.5,-29.5,9977.0,10069.5,92.5,0.0
1,862000,10060.5,-12.5,-28.5,-63.5,-22.5,9977.0,10060.5,83.5,0.0
1,865500,10049.5,-3.5,-25.5,-50.5,-19.5,9977.0,10055.0,72.5,5.5
1,866000,10053.5,-12.5,-36.5,-53.5,-24.5,9977.0,10053.5,76.5,0.0
1,867500,10043.5,-16.5,-33.5,-41.5,-16.5,9977.0,10053.0,66.5,9.5
1,869000,10050.5,-28.5,-49.5,-36.5,-37.5,9977.0,10053.0,73.5,2.5
1,869800,10044.5,-23.5,-43.5,-35.5,-33.5,9977.0,10050.0,67.5,5.5
1,877200,10010.5,-11.5,-11.5,-19.5,-12.5,9977.0,10041.0,33.5,30.5
1,888100,10010.5,-14.5,-14.5,4.5,-3.5,9977.0,10041.0,33.5,30.5
1,911300,10033.5,-1.5,-19.5,-23.5,-3.5,9989.0,10041.0,44.5,7.5
1,916500,10033.5,-14.5,-34.5,-28.5,-22.5,9989.0,10037.0,44.5,3.5
1,921400,10014.5,-15.5,-3.5,4.5,-21.5,9984.0,10037.0,30.5,22.5
1,947400,10016.5,13.5,-12.5,-11.5,3.5,9984.0,10037.0,32.5,20.5
1,947700,10012.5,21.5,-5.5,-8.5,1.5,9984.0,10037.0,28.5,24.5
1,948700,10016.5,10.5,0.5,-16.5,-1.5,9984.0,10037.0,32.5,20.5
1,952200,10034.5,-31.5,-8.5,-42.5,-19.5,9984.0,10037.0,50.5,2.5
1,989900,10025.5,0.5,-10.5,-10.5,-10.5,10012.0,10034.0,13.5,8.5
1,990900,10028.5,-9.5,-13.5,-13.5,-13.5,10012.0,10034.0,16.5,5.5
1,993000,10026.5,-11.5,-11.5,-11.5,-11.5,10012.0,10034.0,14.5,7.5
1,995000,10023.5,-8.5,-8.5,-8.5,-8.5,10012.0,10024.5,11.5,1.0
1,995700,10015.5,-0.5,-0.5,-0.5,-0.5,10012.0,10024.5,3.5,9.0
1,997900,10013.5,1.5,1.5,1.5,1.5,10012.0,10019.0,1.5,5.5
2,4700,10025.5,-3.5,-3.5,-32.5,-83.5,9935.5,10029.0,90.0,3.5
2,5600,10020.5,-6.5,3.5,-34.5,-72.5,9935.5,10029.0,85.0,8.5
2,6600,10019.5,-0.5,5.5,-31.5,-67.5,9935.5,10029.0,84.0,9.5
2,7400,10016.5,-5.5,4.5,-18.5,-68.5,9935.5,10029.0,81.0,12.5
2,10900,10016.5,7.5,-8.5,-28.5,-50.5,9935.5,10029.0,81.0,12.5
2,11300,10020.5,5.5,-15.5,-25.5,-57.0,9935.5,10029.0,85.0,8.5
2,32900,10010.5,-26.5,-25.5,-65.5,-54.5,9935.5,10011.0,75.0,0.5
2,142300,10019.5,-4.5,-6.5,-1.5,-37.0,9971.0,10033.0,48.5,13.5
2,142500,10021.5,-6.5,-7.5,-1.5,-33.5,9971.0,10033.0,50.5,11.5
2,148200,10016.5,-0.5,-6.5,1.5,-35.5,9971.0,10033.0,45.5,16.5
2,148900,10020.5,-9.5,-3.0,-4.5,-47.5,9971.0,10033.0,49.5,12.5
2,151200,10019.5,1.5,-1.5,-14.5,-41.5,9969.0,10033.0,50.5,13.5
2,152200,10015.5,-3.5,5.0,-8.5,-41.5,9969.0,10033.0,46.5,17.5
2,158900,10017.5,7.5,-1.5,-6.5,-29.5,9965.0,10033.0,52.5,15.5
2,162200,10020.5,1.5,-13.5,-17.5,-52.5,9965.0,10033.0,55.5,12.5
2,176200,10022.5,-13.5,-21.5,-42.5,-103.5,9921.5,10022.5,101.0,0.0
2,176400,10019.5,-15.5,-24.5,-44.0,-101.5,9917.5,10022.0,102.0,2.5
2,185500,10011.5,-35.5,-30.5,-31.5,-94.5,9906.0,10011.5,105.5,0.0
2,185600,10010.5,-36.5,-30.5,-30.5,-92.5,9906.0,10011.0,104.5,0.5
2,585900,10016.5,-4.5,-6.5,18.5,-10.5,9998.0,10043.0,18.5,26.5
2,592200,10011.5,-9.5,11.5,17.5,0.5,9998.0,10043.0,13.5,31.5
2,593900,10016.5,-3.5,14.5,16.5,10.5,9998.0,10043.0,18.5,26.5
2,604800,10034.5,3.5,-5.5,-14.5,-3.5,9998.0,10045.0,36.5,10.5
2,606700,10033.5,0.5,-5.5,-17.5,-1.5,9998.0,10045.0,35.5,11.5
2,610200,10037.5,-3.5,-18.5,-12.5,2.5,9998.0,10045.0,39.5,7.5
2,612700,10038.5,-20.5,-13.5,-33.5,-5.5,9998.0,10045.0,40.5,6.5
2,613500,10035.5,-8.5,-9.5,-26.5,0.5,9998.0,10045.0,37.5,9.5
2,614400,10033.5,-15.5,-13.5,-34.5,0.0,9998.0,10045.0,35.5,11.5
2,622300,10030.5,-15.5,-19.5,-18.5,-21.5,9998.0,10045.0,32.5,14.5
2,625100,10028.5,-5.5,-21.5,-4.5,-21.5,9998.0,10045.0,30.5,16.5
2,627000,10011.5,1.5,3.5,28.5,-2.5,9998.0,10045.0,13.5,33.5
2,627800,10021.5,-17.5,-14.5,16.5,-20.5,9998.0,10045.0,23.5,23.5
2,638500,10013.5,10.5,27.5,22.0,-2.5,9989.5,10045.0,24.0,31.5
2,640400,10011.5,16.5,31.5,26.5,-11.5,9989.5,10045.0,22.0,33.5
2,642700,10019.5,18.5,20.5,13.5,-12.5,9989.5,10045.0,30.0,25.5
2,644000,10026.5,9.5,5.5,2.5,-21.5,9989.5,10045.0,37.0,18.5
2,644200,10022.5,8.5,9.5,8.5,-17.5,9989.5,10045.0,33.0,22.5
2,644600,10026.5,2.5,0.5,4.5,-15.5,9989.5,10045.0,37.0,18.5
2,645900,10040.5,3.5,-5.5,-22.5,-29.5,9989.5,10045.0,51.0,4.5
2,646000,10042.5,-1.5,-8.5,-25.5,-34.5,9989.5,10045.0,53.0,2.5
2,650300,10040.5,-4.5,-1.5,-14.5,-28.5,9989.5,10045.0,51.0,4.5
2,652300,10036.5,-1.5,-4.5,-27.5,-17.5,9989.5,10043.0,47.0,6.5
2,653000,10033.5,0.5,-0.5,-25.5,-15.5,9989.5,10040.0,44.0,6.5
2,653200,10034.5,1.5,-0.5,-33.5,-16.5,9989.5,10040.0,45.0,5.5
2,653900,10033.5,1.5,-2.5,-27.5,-16.0,9989.5,10040.0,44.0,6.5
2,655500,10032.5,7.5,-8.5,-22.5,-10.5,9989.5,10040.0,43.0,7.5
2,657200,10034.5,-1.5,-10.5,-23.5,-9.5,9989.5,10040.0,45.0,5.5
2,657600,10038.5,-5.5,-5.5,-34.5,-12.5,9989.5,10040.0,49.0,1.5
2,658500,10035.5,0.5,-2.5,-28.5,-14.5,9989.5,10040.0,46.0,4.5
2,659300,10036.5,-6.5,-3.5,-47.0,-10.5,9989.5,10040.0,47.0,3.5
2,662000,10032.5,-6.5,-23.5,-18.5,4.5,9989.5,10039.0,43.0,6.5
2,662100,10033.5,-8.5,-24.5,-18.5,3.5,9989.5,10039.0,44.0,5.5
2,662500,10034.5,-2.5,-20.5,-20.5,2.0,9989.5,10039.0,45.0,4.5
2,671000,10018.5,-14.5,-16.5,-19.5,22.5,9989.5,10050.0,29.0,31.5
2,672600,10012.5,-8.5,-0.5,-7.5,32.5,9989.5,10050.0,23.0,37.5
2,695000,10012.5,-3.5,2.5,35.5,-3.5,9997.0,10051.0,15.5,38.5
2,695200,10013.5,-1.5,3.5,33.5,-4.5,9997.0,10051.0,16.5,37.5
2,703400,10021.5,1.0,25.5,24.5,-21.5,9993.0,10051.0,28.5,29.5
2,706200,10021.5,15.5,24.5,20.5,-11.5,9993.0,10051.0,28.5,29.5
2,708400,10022.5,24.5,11.5,15.5,-5.5,9993.0,10051.0,29.5,28.5
2,708900,10022.5,25.5,15.5,19.5,-0.5,9993.0,10051.0,29.5,28.5
2,712500,10036.5,1.5,8.5,-18.5,6.5,9993.0,10051.0,43.5,14.5
2,713600,10043.5,-2.5,1.5,-19.5,-13.5,9993.0,10051.0,50.5,7.5
2,713800,10045.5,-8.5,-0.5,-22.5,-8.5,9993.0,10051.0,52.5,5.5
2,714400,10047.5,-12.5,0.5,-23.5,-9.5,9993.0,10051.0,54.5,3.5
2,717700,10034.5,11.5,-2.5,-36.5,0.5,9993.0,10051.0,41.5,16.5
2,718300,10036.5,11.5,2.5,-34.5,-4.0,9993.0,10051.0,43.5,14.5
2,719900,10039.5,7.5,-4.5,-28.5,-6.5,9993.0,10051.0,46.5,11.5
2,723200,10047.5,-11.5,-25.5,-38.5,-16.5,9993.0,10051.0,54.5,3.5
2,724200,10048.5,-14.5,-27.5,-34.5,-13.5,9993.0,10048.5,55.5,0.0
2,727500,10033.5,-15.5,-33.5,-33.5,11.5,9993.0,10050.0,40.5,16.5
2,728800,10042.5,-19.5,-39.5,-49.5,-4.5,9993.0,10050.0,49.5,7.5
2,729000,10039.5,-16.5,-35.5,-42.5,-3.5,9993.0,10050.0,46.5,10.5
2,729800,10035.5,-13.5,-23.5,-28.5,-5.5,9993.0,10050.0,42.5,14.5
2,735500,10020.5,-8.0,-10.5,-16.5,2.5,9993.0,10050.0,27.5,29.5
2,742400,10010.5,-12.5,-7.5,32.5,-16.5,9993.0,10050.0,17.5,39.5
2,749600,10010.5,-5.5,15.5,24.5,-22.5,9981.0,10050.0,29.5,39.5
2,763000,10037.5,-0.5,-1.5,-17.5,-20.5,9981.0,10050.0,56.5,12.5
2,764000,10037.5,-1.5,0.0,-15.5,-13.5,9981.0,10050.0,56.5,12.5
2,765900,10043.5,1.5,-0.5,-21.5,-16.5,9981.0,10050.0,62.5,6.5
2,767100,10040.5,-1.5,8.5,-21.5,-10.5,9981.0,10050.0,59.5,9.5
2,767900,10035.5,2.5,6.5,-16.5,-5.5,9981.0,10050.0,54.5,14.5
2,768300,10032.5,-1.5,9.5,-12.5,-0.5,9981.0,10050.0,51.5,17.5
2,770700,10044.5,-6.5,-21.5,-44.5,-26.5,9981.0,10050.0,63.5,5.5
2,771400,10042.5,0.5,-21.5,-34.5,-16.5,9981.0,10050.0,61.5,7.5
2,774000,10037.5,-1.5,-15.5,-47.0,-2.5,9981.0,10050.0,56.5,12.5
2,775200,10033.5,-3.5,-10.0,-49.5,0.5,9981.0,10050.0,52.5,16.5
2,775300,10036.5,-8.5,-13.5,-50.5,-5.5,9981.0,10050.0,55.5,13.5
2,778700,10039.5,-21.5,-27.5,-52.5,-8.5,9981.0,10039.5,58.5,0.0
2,781100,10018.5,1.5,-16.5,-26.0,11.5,9981.0,10038.5,37.5,20.0
2,784500,10026.5,-20.5,-34.5,-14.5,2.5,9981.0,10038.5,45.5,12.0
2,785200,10023.5,-23.5,-39.5,-9.5,-1.0,9981.0,10038.5,42.5,15.0
2,787500,10019.5,-26.5,-35.5,-16.5,3.5,9981.0,10038.5,38.5,19.0
2,788200,10018.5,-23.5,-30.5,-13.5,4.5,9981.0,10038.5,37.5,20.0
2,814400,10021.5,5.5,10.5,4.5,-25.5,9992.5,10038.5,29.0,17.0
2,815200,10020.5,3.5,13.5,2.0,-28.5,9992.0,10038.5,28.5,18.0
2,823100,10038.5,-7.5,-18.5,-20.5,-46.5,9988.5,10038.5,50.0,0.0
2,826500,10027.5,1.5,-3.5,-14.5,-41.5,9985.0,10036.0,42.5,8.5
2,827500,10034.5,-4.5,-11.5,-28.5,-44.0,9984.5,10036.0,50.0,1.5
2,827600,10034.5,-5.5,-10.5,-29.5,-47.5,9984.5,10036.0,50.0,1.5
2,827700,10030.5,-4.5,-5.5,-24.5,-43.5,9984.5,10036.0,46.0,5.5
2,828400,10028.5,-8.5,-2.0,-22.5,-40.5,9983.0,10036.0,45.5,7.5
2,829000,10029.5,-4.5,-5.5,-28.5,-43.5,9983.0,10036.0,46.5,6.5
2,833300,10018.5,7.5,-0.5,0.5,-26.5,9978.0,10036.0,40.5,17.5
2,835800,10035.5,-19.5,-21.5,-18.5,-41.5,9978.0,10036.0,57.5,0.5
2,836200,10030.5,-12.5,-21.5,-22.5,-35.5,9978.0,10030.5,52.5,0.0
2,838400,10026.5,-3.5,-20.5,-15.5,-38.5,9978.0,10030.0,48.5,3.5
2,841800,10015.5,-8.5,-4.5,-11.5,-29.5,9978.0,10030.0,37.5,14.5
2,842100,10014.5,-6.5,-4.5,-12.5,-29.5,9978.0,10030.0,36.5,15.5
2,842200,10012.5,-3.5,-2.5,-7.5,-25.0,9978.0,10030.0,34.5,17.5
2,854400,10011.5,7.5,-15.5,-23.5,4.5,9978.0,10021.0,33.5,9.5
2,858200,10011.5,-12.5,-8.5,-24.5,-10.5,9978.0,10021.0,33.5,9.5
2,932700,10016.5,-2.5,-11.5,-30.5,-17.5,9975.5,10027.0,41.0,10.5
2,966300,10010.5,-8.5,-6.5,-20.5,-0.5,9986.0,10032.0,24.5,21.5
2,968000,10015.5,-19.5,-22.5,-11.5,-5.5,9986.0,10032.0,29.5,16.5
2,991800,10023.5,-2.5,-13.5,-13.5,-13.5,10007.0,10032.0,16.5,8.5
2,993100,10023.5,-11.5,-13.5,-13.5,-13.5,10007.0,10032.0,16.5,8.5
2,994000,10026.5,-11.5,-16.5,-16.5,-16.5,10007.0,10027.0,19.5,0.5
3,14200,10018.5,-6.5,12.5,12.0,31.5,10007.0,10061.0,11.5,42.5
3,17600,10014.5,19.5,8.5,10.5,20.5,10008.0,10061.0,6.5,46.5
3,19900,10014.5,21.5,17.5,12.5,30.5,10012.0,10061.0,2.5,46.5
3,23200,10038.5,-9.5,5.5,-5.5,4.5,10017.0,10061.0,21.5,22.5
3,25000,10030.5,4.0,-1.5,1.5,13.5,10017.0,10061.0,13.5,30.5
3,30000,10034.5,-5.5,-4.5,7.5,9.5,10017.0,10061.0,17.5,26.5
3,34000,10031.5,-11.5,10.5,9.5,16.5,10017.0,10061.0,14.5,29.5
3,34200,10030.5,-13.5,8.5,8.5,16.5,10017.0,10061.0,13.5,30.5
3,40100,10028.5,1.0,13.5,27.5,13.5,10027.0,10061.0,1.5,32.5
3,43400,10035.5,3.5,7.5,16.5,-0.5,10027.0,10061.0,8.5,25.5
3,46500,10036.5,6.5,4.5,8.5,6.5,10029.0,10061.0,7.5,24.5
3,47500,10033.5,12.5,15.5,-0.5,4.5,10029.0,10061.0,4.5,27.5
3,48300,10038.5,3.5,11.5,0.5,-8.0,10029.0,10061.0,9.5,22.5
3,48600,10040.5,2.5,10.5,3.5,-12.5,10029.0,10061.0,11.5,20.5
3,51900,10042.5,-0.5,14.5,-1.5,-13.5,10014.0,10061.0,28.5,18.5
3,52600,10046.5,2.5,9.0,-3.5,-19.0,10014.0,10061.0,32.5,14.5
3,53100,10043.5,6.5,11.5,0.5,-13.5,10014.0,10061.0,29.5,17.5
3,58000,10049.5,5.5,-12.5,-0.5,-17.5,10012.0,10061.0,37.5,11.5
3,59700,10051.5,2.5,-6.5,-5.5,-29.5,10012.0,10061.0,39.5,9.5
3,60600,10060.5,-13.0,-17.5,-11.0,-40.5,10012.0,10060.5,48.5,0.0
3,61000,10056.5,-12.5,-17.5,-9.0,-38.5,10012.0,10059.0,44.5,2.5
3,62600,10055.5,-20.5,-12.5,-10.0,-27.5,10012.0,10059.0,43.5,3.5
3,62800,10054.5,-17.5,-11.5,-7.5,-24.5,10012.0,10059.0,42.5,4.5
3,65600,10047.5,-4.5,-6.5,-8.5,-22.5,10012.0,10053.0,35.5,5.5
3,67300,10032.5,6.5,14.5,8.5,-3.5,10012.0,10053.0,20.5,20.5
3,67900,10037.5,3.0,11.5,4.5,-8.5,10012.0,10053.0,25.5,15.5
